N,Minichain,Proposed
100,0.00324,0.00514
200,0.00491,0.00794
300,0.00671,0.01114
400,0.00839,0.01412
500,0.01285,0.02271
600,0.01251,0.02195
700,0.01548,0.0259
800,0.0167,0.03023
900,0.02009,0.03424
1000,0.02052,0.03667
